expiryDate|strikePrice|optionType|openInterest|changeinOpenInterest|lastPrice|change|impliedVolatility|delta|gamma|theta|totalTradedVolume|underlyingValue
2026-06-23|21200|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21200|PE|48936|-4082|0.5|-0.15|40.98||||35836|23991.05
2026-06-23|21250|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21250|PE|1692|-133|0.55|-0.2|40.59||||2906|23991.05
2026-06-23|21300|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21300|PE|6552|-49|0.6|-0.2|39.88||||6637|23991.05
2026-06-23|21350|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21350|PE|370|52|0.65|-0.15|39.74||||925|23991.05
2026-06-23|21400|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21400|PE|1365|-30|0.7|-0.1|39.27||||2106|23991.05
2026-06-23|21450|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21450|PE|1052|171|0.75|-0.05|38.54||||4218|23991.05
2026-06-23|21500|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21500|PE|23340|-6747|0.7|-0.25|37.82||||29441|23991.05
2026-06-23|21550|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21550|PE|847|375|0.75|-0.15|37.09||||1569|23991.05
2026-06-23|21600|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21600|PE|4114|-952|0.8|-0.15|36.59||||11244|23991.05
2026-06-23|21650|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21650|PE|626|129|0.75|-0.2|36.08||||1916|23991.05
2026-06-23|21700|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21700|PE|2901|-1451|0.8|-0.2|35.13||||9064|23991.05
2026-06-23|21750|CE|0|0|0|0|0||||0|23991.05
2026-06-23|21750|PE|457|-101|0.8|-0.2|34.62||||1697|23991.05
2026-06-23|21800|CE|4|0|0|0|0||||0|23991.05
2026-06-23|21800|PE|14755|492|0.85|-0.2|34.08||||15469|23991.05
2026-06-23|21850|CE|3|0|0|0|34.34||||0|23991.05
2026-06-23|21850|PE|1483|361|0.8|-0.3|33.15||||5212|23991.05
2026-06-23|21900|CE|5|0|0|0|0||||0|23991.05
2026-06-23|21900|PE|5911|1032|0.9|-0.2|32.61||||9799|23991.05
2026-06-23|21950|CE|6|0|0|0|0||||0|23991.05
2026-06-23|21950|PE|1451|118|0.95|-0.15|32.23||||6406|23991.05
2026-06-23|22000|CE|91|-35|1990|-187.65|0||||55|23991.05
2026-06-23|22000|PE|62951|557|1|-0.2|31.32||||58962|23991.05
2026-06-23|22050|CE|2|0|0|0|49.22||||0|23991.05
2026-06-23|22050|PE|726|47|1|-0.15|30.75||||1471|23991.05
2026-06-23|22100|CE|5|0|0|0|37.55||||0|23991.05
2026-06-23|22100|PE|7757|-892|1.05|-0.15|30.16||||13065|23991.05
2026-06-23|22150|CE|4|0|0|0|28.12||||0|23991.05
2026-06-23|22150|PE|561|-20|1|-0.25|29.57||||1025|23991.05
2026-06-23|22200|CE|1|0|0|0|0||||0|23991.05
2026-06-23|22200|PE|12304|874|1.1|-0.2|28.96||||25654|23991.05
2026-06-23|22250|CE|3|0|0|0|0||||0|23991.05
2026-06-23|22250|PE|1444|30|1.15|-0.2|28.34||||10769|23991.05
2026-06-23|22300|CE|12|0|1683.7|-195|0||||1|23991.05
2026-06-23|22300|PE|6534|-672|1.1|-0.2|27.46||||22622|23991.05
2026-06-23|22350|CE|4|0|0|0|0||||0|23991.05
2026-06-23|22350|PE|3387|-26|1.2|-0.15|26.96||||6351|23991.05
2026-06-23|22400|CE|5|-1|1603|-186|0||||2|23991.05
2026-06-23|22400|PE|7499|-3713|1.2|-0.2|26.32||||39203|23991.05
2026-06-23|22450|CE|4|0|0|0|0||||0|23991.05
2026-06-23|22450|PE|3549|1296|1.25|-0.25|25.67||||15347|23991.05
2026-06-23|22500|CE|1139|-34|1503|-176.2|18.57||||74|23991.05
2026-06-23|22500|PE|59914|-7224|1.25|-0.3|24.91||||157656|23991.05
2026-06-23|22550|CE|16|0|1433.55|-67.35|0||||2|23991.05
2026-06-23|22550|PE|6472|261|1.35|-0.2|24.35||||15699|23991.05
2026-06-23|22600|CE|43|-3|1402|-108|0||||9|23991.05
2026-06-23|22600|PE|18001|-1594|1.4|-0.15|23.58||||56816|23991.05
2026-06-23|22650|CE|6|0|0|0|0||||0|23991.05
2026-06-23|22650|PE|7847|-1571|1.4|-0.2|22.99||||26024|23991.05
2026-06-23|22700|CE|164|-3|1300.45|-181.2|28.24||||33|23991.05
2026-06-23|22700|PE|23042|4095|1.4|-0.25|22.21||||99817|23991.05
2026-06-23|22750|CE|30|0|1241.55|-100|0||||2|23991.05
